245," 2471 Lewisville Clemmons Rd Clemmons, NC",$2.09 ,Circle K #3160,-80.26077691,36.02005144
246," 3715 Peters Creek Pkwy Winston Salem, NC",$2.09 ,Speedway #6930,-80.23927396,36.04738746
247," 3600 S Main St Winston Salem, NC",$2.09 ,Speedway #6932,-80.80940795,36.19477064
248," 5611 Us Highway 21 Jonesville, NC",$2.16 ,Jonesville Pitstop,-80.89396218,36.03039549
249," 1460 W Memorial Hwy Union Grove, NC",$2.22 ,7-eleven #36075,-80.83651325,36.00830711
250," 1422 W Memorial Hwy Harmony, NC",$2.60 ,Knights Bp,-80.9309343,36.15583804
251," 4830 Clingman Rd Ronda, NC",$2.21 ,Clingman Pit Stop,-80.66008083,36.12261288
252," 708 S State St Yadkinville, NC",$2.33 ,Fast Phils #505,-80.6601645,36.12049323
253," 800 S State St Yadkinville, NC",$2.07 ,Four Brothers #302,-80.66010622,36.12034871
254," 805 S State St Yadkinville, NC",$2.10 ,Sheetz #510,-80.8150919,36.23912359
255," 1736 Hwy-67 Jonesville, NC",$2.15 ,Four Brothers #300,-80.82028774,36.23923902
256," 1648 Nc Highway 67 Jonesville, NC",$2.15 ,Speedway #6945,-80.84585733,36.24012711
257," 411 N Bridge St Jonesville, NC",$2.15 ,Speedway #6944,-80.91983842,36.36275408
258," 1681 Us Highway 21 Thurmond, NC",$2.10 ,Foot Hills Grocery,-80.66010622,36.12034871
259," 805 S State St Yadkinville, NC",$2.10 ,Sheetz #510,-80.85332689,36.27004028
260," 401 Cc Camp Rd Elkin, NC",$2.12 ,Sheetz #535,-80.50725171,36.21517896
261," 104 Nc 67 Hwy East Bend, NC",$2.13 ,Speedway #6947,-80.84206002,36.2750768
262," 491 C C Camp Rd Elkin, NC",$2.13 ,Murphy Express #8522,-80.88697658,36.14076622
263," 2941 Us 421 Hwy Hamptonville, NC",$2.14 ,7-eleven #36076,-80.58528828,35.9191671
264," 1449 Yadkinville Rd Mocksville, NC",$2.14 ,Sheetz #455,-80.86092069,35.84735274
265," 849 Turnersburg Hwy Statesville, NC",$2.14 ,7-eleven #36073,-80.59196796,35.92665099
266," 145 Cooper Creek Dr Mocksville, NC",$2.14 ,Murphy Usa #7370,-80.5877021,35.92107391
267," 1532 Yadkinville Rd Mocksville, NC",$2.14 ,Rushco Food Store #8,-80.34076397,36.27804425
268," 703 East King St King, NC",$2.22 ,Sheetz #483,-80.36072723,36.26792742
269," 583 S Main St King, NC",$2.22 ,Kangaroo Express,-80.36304781,36.26264988
270," 713 S Main St King, NC",$2.24 ,7-eleven #36064,-80.436924,36.3187307
271," 1448 Perch Rd Pinnacle, NC",$2.16 ,Four Brothers #104,-80.29102715,36.23722726
272," 7895 Broad St Rural Hall, NC",$2.13 ,Four Brothers #206,-80.30240276,36.21201444
273," 1065 Bethania Rural Hall Rd Rural Hall, NC",$2.17 ,Circle K,-80.22262379,36.26540215
